county_fips,TractLOWI,TractHUNV,TractSNAP,LAPOP1_10,LAPOP1_20,state_abbr,state_name,DIABETES,OBESITY
04025,76339.0,3747.0,8918.0,75446.0,60803.0,AZ,Arizona,9.850000000000001,27.15
04027,97328.0,4328.0,13741.0,48385.0,46417.0,AZ,Arizona,13.65,39.95
05001,8129.0,791.0,1339.0,8947.0,7097.0,AR,Arkansas,12.350000000000001,38.0
05003,9348.0,678.0,1546.0,4755.0,2542.0,AR,Arkansas,15.1,42.0
05005,15439.0,681.0,1817.0,6820.0,6068.0,AR,Arkansas,12.15,35.25
05007,73657.0,3055.0,5342.0,55100.0,54371.0,AR,Arkansas,9.55,34.75
05009,15487.0,826.0,2292.0,7707.0,2961.0,AR,Arkansas,11.15,39.0
05011,4985.0,424.0,884.0,2735.0,4.0,AR,Arkansas,14.4,42.2
05013,2069.0,111.0,211.0,3516.0,442.0,AR,Arkansas,12.05,41.95
05015,11281.0,590.0,890.0,4498.0,3111.0,AR,Arkansas,11.85,36.6
05017,5500.0,688.0,1072.0,3848.0,3250.0,AR,Arkansas,18.15,46.900000000000006
05019,8370.0,592.0,1115.0,6091.0,871.0,AR,Arkansas,11.850000000000001,41.0
05021,7191.0,570.0,1082.0,2586.0,2157.0,AR,Arkansas,12.5,39.1
05023,9232.0,298.0,855.0,4524.0,1210.0,AR,Arkansas,12.3,37.45
05025,3381.0,174.0,456.0,1920.0,0.0,AR,Arkansas,12.5,40.45
05027,10741.0,476.0,1668.0,4795.0,3309.0,AR,Arkansas,13.4,40.55
05029,8611.0,594.0,1176.0,4706.0,1912.0,AR,Arkansas,13.3,40.7
05031,42534.0,3084.0,5587.0,20573.0,19831.0,AR,Arkansas,10.65,42.45
05033,25225.0,927.0,2926.0,21298.0,17868.0,AR,Arkansas,12.05,39.5
05035,22974.0,2033.0,3862.0,11468.0,6737.0,AR,Arkansas,14.399999999999999,43.8
05037,6877.0,471.0,920.0,5212.0,1842.0,AR,Arkansas,13.25,43.1
05039,3116.0,344.0,577.0,4218.0,1793.0,AR,Arkansas,14.55,40.2
05041,6336.0,800.0,1369.0,4221.0,3038.0,AR,Arkansas,17.25,45.1
05043,7260.0,467.0,1051.0,4469.0,2722.0,AR,Arkansas,12.75,40.85
05045,42949.0,2134.0,4551.0,37149.0,35669.0,AR,Arkansas,10.05,36.25
05047,7927.0,369.0,1047.0,847.0,0.0,AR,Arkansas,12.95,39.849999999999994
05049,5880.0,231.0,813.0,1703.0,0.0,AR,Arkansas,14.049999999999999,40.5
05051,39264.0,3069.0,4872.0,28068.0,25569.0,AR,Arkansas,11.45,36.35
05053,6526.0,172.0,684.0,6335.0,4382.0,AR,Arkansas,10.4,39.45
05055,17283.0,766.0,2624.0,7580.0,5717.0,AR,Arkansas,11.65,39.6
05057,10395.0,562.0,1110.0,7142.0,4041.0,AR,Arkansas,14.8,44.7
05059,13247.0,721.0,2047.0,8209.0,3840.0,AR,Arkansas,12.3,35.6
05061,6257.0,420.0,865.0,4796.0,2059.0,AR,Arkansas,13.55,41.15
05063,15058.0,617.0,1527.0,4428.0,1989.0,AR,Arkansas,11.5,37.3
05065,5302.0,248.0,648.0,126.0,0.0,AR,Arkansas,12.600000000000001,37.5
05067,7506.0,369.0,1226.0,4938.0,4117.0,AR,Arkansas,13.4,40.05
05069,29406.0,2764.0,5290.0,20134.0,17879.0,AR,Arkansas,14.7,43.099999999999994
05071,13142.0,482.0,1361.0,6962.0,4801.0,AR,Arkansas,12.9,38.5
05073,3429.0,261.0,550.0,1609.0,0.0,AR,Arkansas,17.1,43.15
05075,7230.0,380.0,1000.0,6612.0,2416.0,AR,Arkansas,11.850000000000001,38.8
05077,4016.0,548.0,978.0,4652.0,1527.0,AR,Arkansas,17.65,46.849999999999994
05079,4025.0,335.0,636.0,4695.0,0.0,AR,Arkansas,12.45,41.45
05081,5096.0,451.0,918.0,406.0,0.0,AR,Arkansas,12.25,40.6
05083,10042.0,400.0,1418.0,3626.0,2121.0,AR,Arkansas,12.1,40.05
05085,22628.0,1121.0,2946.0,11243.0,10305.0,AR,Arkansas,9.649999999999999,37.0
05087,6959.0,337.0,596.0,4110.0,160.0,AR,Arkansas,12.0,38.7
05089,7584.0,426.0,916.0,1671.0,0.0,AR,Arkansas,12.75,37.349999999999994
05091,18405.0,1323.0,2302.0,11770.0,10969.0,AR,Arkansas,13.1,38.150000000000006
05093,21600.0,1656.0,3771.0,7877.0,7777.0,AR,Arkansas,13.85,39.2
05095,3515.0,427.0,746.0,2308.0,1619.0,AR,Arkansas,15.9,42.85
05097,3890.0,210.0,574.0,2187.0,0.0,AR,Arkansas,13.5,37.7
05099,4345.0,201.0,738.0,4874.0,2528.0,AR,Arkansas,14.15,40.1
05101,3272.0,116.0,341.0,2405.0,136.0,AR,Arkansas,11.75,39.849999999999994
05103,11630.0,977.0,1799.0,9053.0,4150.0,AR,Arkansas,14.8,40.0
05105,4117.0,221.0,520.0,1490.0,0.0,AR,Arkansas,11.6,37.85
05107,10291.0,1305.0,2210.0,7851.0,3023.0,AR,Arkansas,18.1,42.95
05109,5101.0,217.0,565.0,2604.0,50.0,AR,Arkansas,11.9,37.25
05111,11374.0,659.0,1900.0,4745.0,3175.0,AR,Arkansas,13.2,45.150000000000006
05113,10440.0,531.0,1147.0,6680.0,47.0,AR,Arkansas,12.55,35.4
05115,26500.0,1244.0,2830.0,14370.0,12908.0,AR,Arkansas,11.5,37.849999999999994
05117,3573.0,258.0,473.0,388.0,0.0,AR,Arkansas,11.8,36.6
05119,145351.0,11466.0,16795.0,126455.0,125874.0,AR,Arkansas,11.65,38.95
05121,8463.0,437.0,1167.0,2917.0,431.0,AR,Arkansas,12.600000000000001,42.0
05123,12238.0,1221.0,2241.0,13344.0,10138.0,AR,Arkansas,17.0,48.55
05125,29371.0,1732.0,3269.0,31898.0,29277.0,AR,Arkansas,10.05,35.1
05127,5570.0,331.0,736.0,3862.0,2123.0,AR,Arkansas,12.6,39.45
05129,3959.0,235.0,444.0,2693.0,0.0,AR,Arkansas,14.05,39.0
05131,54366.0,3412.0,7354.0,16618.0,16330.0,AR,Arkansas,12.100000000000001,38.5
05133,7942.0,251.0,893.0,5002.0,2378.0,AR,Arkansas,13.7,42.4
05135,8988.0,312.0,1354.0,5995.0,4684.0,AR,Arkansas,13.6,39.95
05137,6119.0,212.0,902.0,3097.0,0.0,AR,Arkansas,14.15,40.7
05139,16218.0,765.0,2255.0,11733.0,7755.0,AR,Arkansas,13.0,39.0
05141,7785.0,394.0,1014.0,1799.0,0.0,AR,Arkansas,13.45,39.9
05143,87091.0,5185.0,6586.0,28344.0,26907.0,AR,Arkansas,9.85,32.9
05145,30153.0,1791.0,3450.0,18205.0,13515.0,AR,Arkansas,11.399999999999999,36.65
05147,2968.0,310.0,771.0,486.0,0.0,AR,Arkansas,14.9,39.7
05149,9961.0,363.0,991.0,3633.0,1398.0,AR,Arkansas,12.95,37.25
06001,369977.0,54816.0,37448.0,122079.0,121958.0,CA,California,9.75,24.950000000000003
06003,439.0,18.0,35.0,669.0,121.0,CA,California,10.3,29.1
06005,8946.0,773.0,1059.0,66.0,0.0,CA,California,10.3,29.65
06007,90612.0,6232.0,10360.0,42052.0,40894.0,CA,California,10.25,30.35
06009,14011.0,431.0,1502.0,6717.0,6661.0,CA,California,11.350000000000001,30.6
06011,8018.0,386.0,1083.0,8424.0,2583.0,CA,California,12.5,33.25
06013,246448.0,21438.0,25060.0,243671.0,243671.0,CA,California,9.8,24.450000000000003
06015,11470.0,942.0,1692.0,9844.0,7079.0,CA,California,12.0,32.75
06017,39396.0,2850.0,4217.0,45667.0,45460.0,CA,California,9.0,28.25
06019,452590.0,25805.0,61296.0,124000.0,117608.0,CA,California,12.649999999999999,36.7
06021,12511.0,484.0,1082.0,6594.0,5354.0,CA,California,12.05,31.65
06023,58132.0,4133.0,6681.0,15060.0,10221.0,CA,California,10.7,32.85
06025,81640.0,3242.0,9452.0,30789.0,21156.0,CA,California,15.05,37.75
06027,4796.0,552.0,689.0,5357.0,2317.0,CA,California,10.5,29.35
06029,399140.0,18281.0,45497.0,199597.0,183864.0,CA,California,12.9,36.5
06031,60987.0,2730.0,7223.0,50526.0,50469.0,CA,California,12.4,34.95
06033,27973.0,1781.0,2973.0,2703.0,2623.0,CA,California,12.1,33.7
06035,6484.0,560.0,783.0,11130.0,5360.0,CA,California,10.65,32.05
06037,3651509.0,298364.0,290880.0,641326.0,638136.0,CA,California,12.1,28.5
06039,65350.0,2675.0,7894.0,21866.0,21272.0,CA,California,12.9,35.8
06041,44229.0,5130.0,3129.0,30005.0,29362.0,CA,California,8.3,23.0
06043,5927.0,248.0,819.0,1473.0,0.0,CA,California,10.95,29.85
06045,35558.0,2138.0,3905.0,12722.0,9423.0,CA,California,11.4,31.45
06047,130470.0,5801.0,15683.0,48443.0,46954.0,CA,California,13.05,32.75
06049,3898.0,146.0,346.0,3927.0,1688.0,CA,California,12.25,32.900000000000006
06051,4034.0,127.0,203.0,8109.0,5304.0,CA,California,9.399999999999999,29.700000000000003
06053,156606.0,5984.0,8959.0,69025.0,64102.0,CA,California,11.65,27.4
06055,32363.0,2454.0,2225.0,16494.0,15540.0,CA,California,9.8,27.9
